numero,piso,metraje,prorrateo,estacionamiento,bodega,owner_rut,owner_nombre,owner_email,owner_fono,tenant_rut,tenant_nombre,tenant_email,tenant_fono,broker_rut,broker_nombre,broker_email,broker_fono
101,1,140.5,1.127,E-270,B-297,13.130.952-3,Luis Gomez,contacto@mail.com,+56911112222,26.208.370-9,Carlos Gonzalez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
102,1,140.5,2.01,E-229,B-155,18.485.506-7,Jose Gomez,contacto@mail.com,+56911112222,21.915.412-7,Ana Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
103,1,50.5,1.666,E-174,B-100,11.993.824-7,Jose Muñoz,contacto@mail.com,+56911112222,11.993.824-7,Jose Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
104,1,70.2,1.681,E-270,B-263,16.394.545-3,Maria Gomez,contacto@mail.com,+56911112222,21.864.901-0,Roberto Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
105,1,90.0,2.208,E-215,B-298,15.801.949-8,Carlos Gonzalez,contacto@mail.com,+56911112222,23.485.372-7,Maria Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
106,1,140.5,0.74,E-206,B-262,20.879.406-1,Carlos Gomez,contacto@mail.com,+56911112222,24.873.195-5,Carlos Gonzalez,residente@mail.com,+56933334444,76.123.456-K,Gestión Global,contacto@propiedades.cl,+5622222222
107,1,70.2,1.938,E-119,B-169,17.723.579-9,Jose Gonzalez,contacto@mail.com,+56911112222,29.718.997-9,Maria Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
108,1,140.5,1.986,E-266,B-236,19.634.462-9,Roberto Diaz,contacto@mail.com,+56911112222,28.179.631-2,Ana Gonzalez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
109,1,50.5,0.586,E-234,B-239,17.154.512-5,Ana Perez,contacto@mail.com,+56911112222,17.154.512-5,Ana Perez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
110,1,70.2,0.541,E-247,B-189,14.613.714-0,Elena Rojas,contacto@mail.com,+56911112222,22.832.234-7,Roberto Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
201,2,140.5,1.557,E-159,B-228,12.648.985-0,Carlos Gomez,contacto@mail.com,+56911112222,27.134.112-4,Elena Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
202,2,70.2,1.656,E-249,B-238,13.670.205-5,Ana Silva,contacto@mail.com,+56911112222,29.151.256-7,Ana Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
203,2,50.5,2.448,E-192,B-257,11.779.422-1,Roberto Perez,contacto@mail.com,+56911112222,23.565.510-6,Carlos Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
204,2,50.5,1.043,E-246,B-114,15.169.255-4,Jose Gonzalez,contacto@mail.com,+56911112222,26.605.864-6,Luis Gonzalez,residente@mail.com,+56933334444,76.123.456-K,Gestión Global,contacto@propiedades.cl,+5622222222
205,2,70.2,1.807,E-251,B-109,10.281.540-5,Carlos Muñoz,contacto@mail.com,+56911112222,10.281.540-5,Carlos Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
206,2,90.0,0.609,E-187,B-211,17.898.372-9,Maria Gomez,contacto@mail.com,+56911112222,17.898.372-9,Maria Gomez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
207,2,50.5,2.255,E-125,B-179,15.821.448-7,Roberto Gonzalez,contacto@mail.com,+56911112222,15.821.448-7,Roberto Gonzalez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
208,2,90.0,0.596,E-233,B-169,20.377.429-3,Carlos Silva,contacto@mail.com,+56911112222,24.542.462-0,Maria Rojas,residente@mail.com,+56933334444,76.123.456-K,Propiedades Pro,contacto@propiedades.cl,+5622222222
209,2,70.2,0.618,E-292,B-255,20.251.270-2,Jose Gonzalez,contacto@mail.com,+56911112222,21.846.476-6,Jose Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
210,2,90.0,0.773,E-146,B-151,11.387.161-2,Ana Diaz,contacto@mail.com,+56911112222,29.757.734-5,Carlos Rojas,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
301,3,140.5,1.866,E-116,B-246,11.768.396-3,Maria Silva,contacto@mail.com,+56911112222,11.768.396-3,Maria Silva,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
302,3,70.2,1.245,E-147,B-107,13.606.536-2,Roberto Diaz,contacto@mail.com,+56911112222,13.606.536-2,Roberto Diaz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
303,3,140.5,1.5,E-147,B-106,20.676.926-3,Elena Gonzalez,contacto@mail.com,+56911112222,22.755.616-5,Roberto Gonzalez,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
304,3,90.0,0.639,E-157,B-189,12.571.102-9,Jose Diaz,contacto@mail.com,+56911112222,23.607.748-2,Roberto Perez,residente@mail.com,+56933334444,76.123.456-K,Propiedades Pro,contacto@propiedades.cl,+5622222222
305,3,90.0,0.821,E-153,B-275,16.998.456-6,Carlos Muñoz,contacto@mail.com,+56911112222,16.998.456-6,Carlos Muñoz,residente@mail.com,+56933334444,,,contacto@propiedades.cl,+5622222222
