numero,piso,metraje,prorrateo,owner_rut,owner_nombre,owner_email,tenant_rut,tenant_nombre,tenant_email,tenant_fono
101,1,45,0.75,10001234-0,Camila Gonzalez,camila.gonzalez@email.com,,,
102,1,60,1.0,10002468-3,Juan Rodriguez,juan.rodriguez@email.com,,,
103,1,80,1.33,10003702-5,Maria Gonzalez,maria.gonzalez@email.com,,,
104,1,60,1.0,10004936-8,Pedro Rodriguez,pedro.rodriguez@email.com,,,
105,1,70,1.17,10006170-8,Maria Contreras,maria.contreras@email.com,,,
106,1,50,0.83,10007404-4,Juan Perez,juan.perez@email.com,,,
107,1,70,1.17,10008638-7,Luis Contreras,luis.contreras@email.com,,,
108,1,70,1.17,10009872-5,Juan Lopez,juan.lopez@email.com,,,
109,1,80,1.33,10011106-3,Pedro Rodriguez,pedro.rodriguez@email.com,,,
110,1,80,1.33,10012340-1,Luis Morales,luis.morales@email.com,,,
201,2,80,1.33,10013574-4,Sofia Lopez,sofia.lopez@email.com,,,
202,2,60,1.0,10014808-0,Luis Gonzalez,luis.gonzalez@email.com,,,
203,2,60,1.0,10016042-0,Juan Munoz,juan.munoz@email.com,,,
204,2,50,0.83,10017276-3,Camila Diaz,camila.diaz@email.com,,,
205,2,80,1.33,10018510-5,Ana Rodriguez,ana.rodriguez@email.com,,,
206,2,50,0.83,10019744-8,Maria Contreras,maria.contreras@email.com,,,
207,2,80,1.33,10020978-0,Jorge Lopez,jorge.lopez@email.com,,,
208,2,70,1.17,10022212-4,Sofia Lopez,sofia.lopez@email.com,,,
209,2,45,0.75,10023446-7,Jorge Munoz,jorge.munoz@email.com,,,
210,2,60,1.0,10024680-5,Sofia Rodriguez,sofia.rodriguez@email.com,,,
301,3,50,0.83,10025914-1,Maria Contreras,maria.contreras@email.com,,,
302,3,80,1.33,10027148-6,Camila Morales,camila.morales@email.com,,,
303,3,50,0.83,10028382-4,Diego Lopez,diego.lopez@email.com,,,
304,3,50,0.83,10029616-0,Luis Perez,luis.perez@email.com,,,
305,3,60,1.0,10030850-9,Luis Silva,luis.silva@email.com,,,
306,3,45,0.75,10032084-3,Juan Contreras,juan.contreras@email.com,,,
307,3,80,1.33,10033318-K,Maria Lopez,maria.lopez@email.com,,,
308,3,80,1.33,10034552-8,Pedro Morales,pedro.morales@email.com,,,
